Pays,Clics,Impressions,CTR,Position
Canada,7,212,3.3%,36.93
États-Unis,0,63,0%,40.37
France,0,17,0%,23.18
Inde,0,2,0%,2
Madagascar,0,1,0%,1
Maroc,0,1,0%,5
Brésil,0,1,0%,7
Thaïlande,0,1,0%,18
Vietnam,0,1,0%,47
